Date,Arriving by date,Type,Confirmation code,Booking date,Start date,End date,Nights,Guest,Listing,Details,Reference code,Currency,Amount,Paid out,Service fee,Fast pay fee,Cleaning fee,Gross earnings,Occupancy taxes,Earnings year
02/01/2026,,Reservation,HM83MRAYKR,11/20/2025,01/15/2026,01/19/2026,4,Guest 009,Inspire and Unwind • Magical 3BR,,,USD,437.97,,13.55,,30.03,451.52,0.00,2026
02/01/2026,,Reservation,HMX283JJJZ,01/23/2026,01/24/2026,01/31/2026,7,Guest 010,Palm 2BR Urban Retreat w/ Pool,,,USD,485.68,,15.02,,45.00,500.70,0.00,2026
02/01/2026,,Reservation,HM4DFWDSYY,12/10/2025,01/27/2026,01/29/2026,2,Guest 011,Inspire and Unwind • Magical 3BR,,,USD,402.55,,12.45,,55.00,415.00,0.00,2026
02/01/2026,,Reservation,HM5NC5FN3F,11/06/2025,01/29/2026,02/01/2026,3,Guest 004,Inspire and Unwind • Magical 3BR,,,USD,286.77,,8.87,,24.86,295.64,0.00,2026
02/01/2026,,Reservation,HM893XMKXM,01/01/2026,01/31/2026,02/05/2026,5,Guest 012,Palm 2BR Urban Retreat w/ Pool,,,USD,387.03,,11.97,,45.00,399.00,0.00,2026
01/24/2026,01/26/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 8400249821,USD,,1990.00,,,,,,
01/24/2026,,Reservation,HMK4N39NEZ,01/06/2026,01/07/2026,01/15/2026,8,Guest 011,Inspire and Unwind • Magical 3BR,,,USD,74.08,,2.29,,3.87,76.37,0.00,2026
01/24/2026,,Reservation,HM83MRAYKR,11/20/2025,01/15/2026,01/19/2026,4,Guest 009,Inspire and Unwind • Magical 3BR,,,USD,364.22,,11.26,,24.97,375.48,0.00,2026
01/24/2026,,Reservation,HM5FA5XM2X,01/18/2026,01/19/2026,01/23/2026,4,Guest 011,Inspire and Unwind • Magical 3BR,,,USD,615.95,,19.05,,55.00,635.00,0.00,2026
01/24/2026,,Reservation,HMJ98HBWCF,01/02/2026,01/21/2026,01/24/2026,3,Guest 013,Palm 2BR Urban Retreat w/ Pool,,,USD,247.35,,7.65,,45.00,255.00,0.00,2026
01/24/2026,,Reservation,HMSESHATET,01/04/2026,01/23/2026,01/27/2026,4,Guest 014,Inspire and Unwind • Magical 3BR,,,USD,698.40,,21.60,,55.00,720.00,0.00,2026
01/14/2026,01/15/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 3964855365,USD,,1990.00,,,,,,
01/14/2026,,Reservation,HMNMB9RK5P,12/04/2025,12/30/2025,01/03/2026,4,Guest 015,Inspire and Unwind • Magical 3BR,,,USD,11.59,,0.36,,0.68,11.95,0.00,2026
01/14/2026,,Reservation,HMN3TDSDZH,12/10/2025,01/05/2026,01/07/2026,2,Guest 016,Inspire and Unwind • Magical 3BR,,,USD,405.46,,12.54,,55.00,418.00,0.00,2026
01/14/2026,,Reservation,HMK4N39NEZ,01/06/2026,01/07/2026,01/15/2026,8,Guest 011,Inspire and Unwind • Magical 3BR,,,USD,979.10,,30.28,,51.13,1009.38,0.00,2026
01/14/2026,,Reservation,HM8FT3TCX3,01/13/2026,01/13/2026,01/21/2026,8,Guest 017,Palm 2BR Urban Retreat w/ Pool,,,USD,603.85,,18.68,,45.00,622.53,0.00,2026
01/04/2026,01/05/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 8139085644,USD,,1990.00,,,,,,
01/04/2026,,Reservation,HMNMB9RK5P,12/04/2025,12/30/2025,01/03/2026,4,Guest 015,Inspire and Unwind • Magical 3BR,,,USD,870.80,,26.93,,51.43,897.73,0.00,2026
01/04/2026,,Reservation,HM2DA5ADH3,10/10/2025,01/03/2026,01/05/2026,2,Guest 018,Inspire and Unwind • Magical 3BR,,,USD,468.51,,14.49,,55.00,483.00,0.00,2026
01/04/2026,,Reservation,HMWPCPMRPS,11/04/2025,01/03/2026,01/12/2026,9,Guest 019,Palm 2BR Urban Retreat w/ Pool,,,USD,660.69,,20.43,,45.00,681.12,0.00,2026
12/31/2025,01/01/2026,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 9170563421,USD,,2000.00,,,,,,
12/31/2025,,Reservation,HM4BT9TYKA,10/02/2025,12/11/2025,12/21/2025,10,Guest 020,Inspire and Unwind • Magical 3BR,,,USD,725.83,,22.45,,21.03,748.28,0.00,2025
12/31/2025,,Reservation,HMYZ8PEH95,12/14/2025,12/24/2025,01/02/2026,9,Guest 021,Palm 2BR Urban Retreat w/ Pool,,,USD,749.09,,23.17,,45.00,772.26,0.00,2025
12/31/2025,,Reservation,HM4WB3858P,12/17/2025,12/27/2025,12/30/2025,3,Guest 022,Inspire and Unwind • Magical 3BR,,,USD,476.27,,14.73,,55.00,491.00,0.00,2025
12/31/2025,,Reservation,HMNMB9RK5P,12/04/2025,12/30/2025,01/03/2026,4,Guest 015,Inspire and Unwind • Magical 3BR,,,USD,48.81,,1.51,,2.88,50.32,0.00,2025
12/24/2025,12/25/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 7352038036,USD,,2000.00,,,,,,
12/24/2025,,Reservation,HM4BT9TYKA,10/02/2025,12/11/2025,12/21/2025,10,Guest 020,Inspire and Unwind • Magical 3BR,,,USD,344.21,,10.65,,9.97,354.86,0.00,2025
12/24/2025,,Reservation,HMN53KRW3Y,11/23/2025,12/13/2025,12/15/2025,2,Guest 023,Palm 2BR Urban Retreat w/ Pool,,,USD,182.36,,5.64,,40.00,188.00,0.00,2025
12/24/2025,,Reservation,HMJ88SZWAZ,09/15/2025,12/20/2025,12/24/2025,4,Guest 024,Palm 2BR Urban Retreat w/ Pool,,,USD,352.11,,10.89,,45.00,363.00,0.00,2025
12/24/2025,,Reservation,HMHRF2HK39,12/21/2025,12/21/2025,12/23/2025,2,Guest 025,Inspire and Unwind • Magical 3BR,,,USD,315.25,,9.75,,55.00,325.00,0.00,2025
12/24/2025,,Reservation,HMBTAJWA2K,12/02/2025,12/23/2025,12/27/2025,4,Guest 026,Inspire and Unwind • Magical 3BR,,,USD,806.07,,24.93,,55.00,831.00,0.00,2025
12/12/2025,12/15/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 3925710661,USD,,2000.00,,,,,,
12/12/2025,,Reservation,HMFPEKY9DZ,11/19/2025,12/01/2025,12/06/2025,5,Guest 027,Inspire and Unwind • Magical 3BR,,,USD,435.21,,13.46,,24.80,448.67,0.00,2025
12/12/2025,,Reservation,HMDH5H2THB,11/21/2025,12/02/2025,12/09/2025,7,Guest 028,Palm 2BR Urban Retreat w/ Pool,,,USD,489.29,,15.13,,45.00,504.42,0.00,2025
12/12/2025,,Reservation,HMHM88S8ES,11/25/2025,12/09/2025,12/12/2025,3,Guest 029,Palm 2BR Urban Retreat w/ Pool,,,USD,247.35,,7.65,,45.00,255.00,0.00,2025
12/12/2025,,Reservation,HM4BT9TYKA,10/02/2025,12/11/2025,12/21/2025,10,Guest 020,Inspire and Unwind • Magical 3BR,,,USD,828.15,,25.61,,24.00,853.76,0.00,2025
12/02/2025,12/03/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 0579860071,USD,,2000.00,,,,,,
12/02/2025,,Reservation,HMNRF5WSAP,08/11/2025,11/19/2025,11/24/2025,5,Guest 030,Inspire and Unwind • Magical 3BR,,,USD,243.98,,7.55,,12.08,251.53,0.00,2025
12/02/2025,,Reservation,HMRBE5CNF9,11/22/2025,11/26/2025,11/29/2025,3,Guest 031,Inspire and Unwind • Magical 3BR,,,USD,641.17,,19.83,,55.00,661.00,0.00,2025
12/02/2025,,Reservation,HMBMNP9KJR,11/16/2025,11/27/2025,11/29/2025,2,Guest 032,Palm 2BR Urban Retreat w/ Pool,,,USD,178.48,,5.52,,40.00,184.00,0.00,2025
12/02/2025,,Reservation,HM84B3AD8W,11/28/2025,11/29/2025,12/01/2025,2,Guest 033,Inspire and Unwind • Magical 3BR,,,USD,406.43,,12.57,,55.00,419.00,0.00,2025
12/02/2025,,Reservation,HMFPEKY9DZ,11/19/2025,12/01/2025,12/06/2025,5,Guest 027,Inspire and Unwind • Magical 3BR,,,USD,529.94,,16.39,,30.20,546.33,0.00,2025
11/20/2025,11/21/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 2277306798,USD,,2000.00,,,,,,
11/20/2025,,Reservation,HMPPQQEQQ8,11/11/2025,11/15/2025,11/19/2025,4,Guest 034,Inspire and Unwind • Magical 3BR,,,USD,837.48,,25.90,,53.51,863.38,0.00,2025
11/20/2025,,Reservation,HMQWX29NFF,07/17/2025,11/19/2025,11/24/2025,5,Guest 035,Palm 2BR Urban Retreat w/ Pool,,,USD,295.85,,9.15,,45.00,305.00,0.00,2025
11/20/2025,,Reservation,HMNRF5WSAP,08/11/2025,11/19/2025,11/24/2025,5,Guest 030,Inspire and Unwind • Magical 3BR,,,USD,866.67,,26.80,,42.92,893.47,0.00,2025
11/16/2025,11/17/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 9096321362,USD,,2000.00,,,,,,
11/16/2025,,Reservation,HM5EKKNDEY,10/02/2025,10/28/2025,11/03/2025,6,Guest 036,Inspire and Unwind • Magical 3BR,,,USD,572.53,,17.71,,0.00,590.24,0.00,2025
11/16/2025,,Reservation,HM2ZXW43BN,10/17/2025,11/08/2025,11/11/2025,3,Guest 037,Inspire and Unwind • Magical 3BR,,,USD,603.92,,18.68,,55.00,622.60,0.00,2025
11/16/2025,,Reservation,HM4AYD5TRE,10/14/2025,11/11/2025,11/15/2025,4,Guest 038,Inspire and Unwind • Magical 3BR,,,USD,800.25,,24.75,,55.00,825.00,0.00,2025
11/16/2025,,Reservation,HMPPQQEQQ8,11/11/2025,11/15/2025,11/19/2025,4,Guest 034,Inspire and Unwind • Magical 3BR,,,USD,23.30,,0.72,,1.49,24.02,0.00,2025
11/05/2025,11/06/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 7977000851,USD,,2000.00,,,,,,
11/05/2025,,Reservation,HMNM52BXXB,10/04/2025,10/22/2025,10/26/2025,4,Guest 039,Inspire and Unwind • Magical 3BR,,,USD,567.25,,17.55,,39.20,584.80,0.00,2025
11/05/2025,,Reservation,HM282HXEJ2,10/21/2025,10/26/2025,10/28/2025,2,Guest 040,Inspire and Unwind • Magical 3BR,,,USD,314.96,,9.74,,55.00,324.70,0.00,2025
11/05/2025,,Reservation,HM5EKKNDEY,10/02/2025,10/28/2025,11/03/2025,6,Guest 036,Inspire and Unwind • Magical 3BR,,,USD,513.87,,15.89,,0.00,529.76,0.00,2025
11/05/2025,,Reservation,HMBSZZ5AAM,10/10/2025,11/04/2025,11/07/2025,3,Guest 041,Inspire and Unwind • Magical 3BR,,,USD,603.92,,18.68,,55.00,622.60,0.00,2025
10/23/2025,10/24/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 7557865396,USD,,2000.00,,,,,,
10/23/2025,,Reservation,HM5ZHMZ4TB,09/24/2025,10/02/2025,11/19/2025,48,Guest 042,Palm 2BR Urban Retreat w/ Pool,,,USD,618.91,,19.14,,8.40,638.05,0.00,2025
10/23/2025,,Reservation,HMTXQQAFDY,09/09/2025,10/16/2025,10/19/2025,3,Guest 043,Inspire and Unwind • Magical 3BR,,,USD,708.10,,21.90,,55.00,730.00,0.00,2025
10/23/2025,,Reservation,HM34NKZHH8,10/19/2025,10/19/2025,10/22/2025,3,Guest 044,Inspire and Unwind • Magical 3BR,,,USD,444.26,,13.74,,55.00,458.00,0.00,2025
10/23/2025,,Reservation,HMNM52BXXB,10/04/2025,10/22/2025,10/26/2025,4,Guest 039,Inspire and Unwind • Magical 3BR,,,USD,228.73,,7.07,,15.80,235.80,0.00,2025
10/10/2025,10/13/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 9366756751,USD,,2000.00,,,,,,
10/10/2025,,Reservation,HM5ZHMZ4TB,09/24/2025,10/02/2025,11/19/2025,48,Guest 042,Palm 2BR Urban Retreat w/ Pool,,,USD,365.62,,11.31,,4.96,376.93,0.00,2025
10/10/2025,,Reservation,HM9PFZQXKA,09/29/2025,10/04/2025,10/08/2025,4,Guest 045,Inspire and Unwind • Magical 3BR,,,USD,805.58,,24.92,,55.00,830.50,0.00,2025
10/10/2025,,Adjustment,HM5ZHMZ4TB,09/24/2025,10/02/2025,11/19/2025,48,Guest 042,Palm 2BR Urban Retreat w/ Pool,,,USD,-123.25,,-3.81,,15.94,,0.00,2025
10/10/2025,,Reservation,HM5E3XZPFF,10/01/2025,10/09/2025,10/14/2025,5,Guest 046,Inspire and Unwind • Magical 3BR,,,USD,952.05,,29.45,,55.00,981.50,0.00,2025
10/03/2025,10/06/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 2726002481,USD,,2000.00,,,,,,
10/03/2025,,Reservation,HM8Q4ZTSMN,08/07/2025,09/25/2025,09/30/2025,5,Guest 047,Inspire and Unwind • Magical 3BR,,,USD,728.47,,22.53,,55.00,751.00,0.00,2025
10/03/2025,,Reservation,HMYJN5ZWW8,09/20/2025,09/25/2025,10/02/2025,7,Guest 048,Palm 2BR Urban Retreat w/ Pool,,,USD,115.21,,3.56,,10.17,118.77,0.00,2025
10/03/2025,,Reservation,HM5ZHMZ4TB,09/24/2025,10/02/2025,11/19/2025,48,Guest 042,Palm 2BR Urban Retreat w/ Pool,,,USD,1156.32,,35.76,,15.70,1192.08,0.00,2025
09/26/2025,09/29/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 0813061081,USD,,2000.00,,,,,,
09/26/2025,,Reservation,HMFQFPQR8A,08/11/2025,09/04/2025,09/07/2025,3,Guest 049,Inspire and Unwind • Magical 3BR,,,USD,412.76,,12.77,,36.57,425.53,0.00,2025
09/26/2025,,Reservation,HME44D54F4,09/19/2025,09/19/2025,09/21/2025,2,Guest 050,Inspire and Unwind • Magical 3BR,,,USD,264.81,,8.19,,55.00,273.00,0.00,2025
09/26/2025,,Reservation,HM3DC8WSPW,09/04/2025,09/21/2025,09/24/2025,3,Guest 051,Inspire and Unwind • Magical 3BR,,,USD,485.00,,15.00,,55.00,500.00,0.00,2025
09/26/2025,,Reservation,HM3DC8WSPW,09/04/2025,09/21/2025,09/24/2025,3,Guest 051,Inspire and Unwind • Magical 3BR,,,USD,208.55,,6.45,,0.00,215.00,0.00,2025
09/26/2025,,Reservation,HMA5WNB9S4,09/22/2025,09/22/2025,09/25/2025,3,Guest 042,Palm 2BR Urban Retreat w/ Pool,,,USD,234.55,,7.25,,45.00,241.80,0.00,2025
09/26/2025,,Reservation,HMYJN5ZWW8,09/20/2025,09/25/2025,10/02/2025,7,Guest 048,Palm 2BR Urban Retreat w/ Pool,,,USD,394.33,,12.20,,34.83,406.53,0.00,2025
09/18/2025,09/19/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 6162972816,USD,,2000.00,,,,,,
09/18/2025,,Reservation,HMAHBRWAQK,08/26/2025,09/01/2025,09/04/2025,3,Guest 052,Inspire and Unwind • Magical 3BR,,,USD,46.93,,1.45,,4.46,48.38,0.00,2025
09/18/2025,,Reservation,HMFQFPQR8A,08/11/2025,09/04/2025,09/07/2025,3,Guest 049,Inspire and Unwind • Magical 3BR,,,USD,208.04,,6.43,,18.43,214.47,0.00,2025
09/18/2025,,Reservation,HMZTAEYAFD,08/25/2025,09/11/2025,09/13/2025,2,Guest 053,Inspire and Unwind • Magical 3BR,,,USD,426.80,,13.20,,55.00,440.00,0.00,2025
09/18/2025,,Reservation,HMZ55E4AYJ,09/06/2025,09/11/2025,09/14/2025,3,Guest 054,Palm 2BR Urban Retreat w/ Pool,,,USD,241.53,,7.47,,45.00,249.00,0.00,2025
09/18/2025,,Reservation,HMQ5M95CYD,09/15/2025,09/15/2025,09/17/2025,2,Guest 055,Inspire and Unwind • Magical 3BR,,,USD,266.75,,8.25,,55.00,275.00,0.00,2025
09/18/2025,,Reservation,HMDSK53WZN,09/02/2025,09/17/2025,09/22/2025,5,Guest 056,Palm 2BR Urban Retreat w/ Pool,,,USD,426.80,,13.20,,45.00,440.00,0.00,2025
09/18/2025,,Reservation,HMTZPSPAY5,09/12/2025,09/17/2025,09/19/2025,2,Guest 057,Inspire and Unwind • Magical 3BR,,,USD,383.15,,11.85,,55.00,395.00,0.00,2025
09/08/2025,09/09/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 7636298556,USD,,2000.00,,,,,,
09/08/2025,,Reservation,HMFEMJBN4P,08/01/2025,08/25/2025,09/02/2025,8,Guest 058,Palm 2BR Urban Retreat w/ Pool,,,USD,357.19,,11.05,,0.00,368.24,0.00,2025
09/08/2025,,Reservation,HMAHBRWAQK,08/26/2025,09/01/2025,09/04/2025,3,Guest 052,Inspire and Unwind • Magical 3BR,,,USD,531.19,,16.43,,50.54,547.62,0.00,2025
09/08/2025,,Reservation,HMEFR9ADJJ,09/04/2025,09/04/2025,09/07/2025,3,Guest 059,Palm 2BR Urban Retreat w/ Pool,,,USD,241.53,,7.47,,45.00,249.00,0.00,2025
09/08/2025,,Reservation,HM8K8QFKT4,09/02/2025,09/07/2025,09/11/2025,4,Guest 060,Palm 2BR Urban Retreat w/ Pool,,,USD,307.49,,9.51,,45.00,317.00,0.00,2025
09/08/2025,,Reservation,HMJ2YKR3RN,09/07/2025,09/07/2025,09/10/2025,3,Guest 061,Inspire and Unwind • Magical 3BR,,,USD,562.60,,17.40,,55.00,580.00,0.00,2025
08/30/2025,09/01/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 4756372788,USD,,2000.00,,,,,,
08/30/2025,,Reservation,HMRTMSHAC8,08/05/2025,08/09/2025,08/24/2025,15,Guest 062,Inspire and Unwind • Magical 3BR,,,USD,92.24,,2.85,,2.46,95.09,0.00,2025
08/30/2025,,Reservation,HM9EPRQTXB,08/07/2025,08/11/2025,08/15/2025,4,Guest 063,Palm 2BR Urban Retreat w/ Pool,,,USD,330.77,,10.23,,45.00,341.00,0.00,2025
08/30/2025,,Reservation,HMDJPM8PW8,08/15/2025,08/17/2025,08/21/2025,4,Guest 064,Palm 2BR Urban Retreat w/ Pool,,,USD,316.22,,9.78,,45.00,326.00,0.00,2025
08/30/2025,,Adjustment,HMRTMSHAC8,08/05/2025,08/09/2025,08/24/2025,15,Guest 062,Inspire and Unwind • Magical 3BR,,,USD,-133.86,,-4.14,,0.00,,0.00,2025
08/30/2025,,Reservation,HMFTR8AJRZ,08/20/2025,08/21/2025,08/24/2025,3,Guest 065,Palm 2BR Urban Retreat w/ Pool,,,USD,248.32,,7.68,,45.00,256.00,0.00,2025
08/30/2025,,Reservation,HMB9MAWZBK,08/24/2025,08/24/2025,08/27/2025,3,Guest 066,Inspire and Unwind • Magical 3BR,,,USD,538.35,,16.65,,55.00,555.00,0.00,2025
08/30/2025,,Reservation,HMFEMJBN4P,08/01/2025,08/25/2025,09/02/2025,8,Guest 058,Palm 2BR Urban Retreat w/ Pool,,,USD,186.01,,5.75,,0.00,191.76,0.00,2025
08/30/2025,,Reservation,HM5HZQT8NQ,08/26/2025,08/29/2025,08/31/2025,2,Guest 067,Inspire and Unwind • Magical 3BR,,,USD,421.95,,13.05,,55.00,435.00,0.00,2025
08/10/2025,08/11/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 0363606068,USD,,2000.00,,,,,,
08/10/2025,,Reservation,HMPZ2CPMRX,08/03/2025,08/04/2025,08/08/2025,4,Guest 068,Inspire and Unwind • Magical 3BR,,,USD,29.05,,0.90,,2.75,29.95,0.00,2025
08/10/2025,,Reservation,HMRTMSHAC8,08/05/2025,08/09/2025,08/24/2025,15,Guest 062,Inspire and Unwind • Magical 3BR,,,USD,1970.95,,60.96,,52.54,2031.91,0.00,2025
08/05/2025,08/06/2025,Payout,,,,,,,,"Transfer to Western Union, Diana Romer, DO (USD)",MTCN: 3003988290,USD,,2000.00,,,,,,
08/05/2025,,Reservation,HMP9AKQHQ8,07/16/2025,07/16/2025,07/17/2025,1,Guest 069,Palm 2BR Urban Retreat w/ Pool,,,USD,55.87,,1.73,,0.00,57.60,0.00,2025
08/05/2025,,Reservation,HMBFY4SKXN,07/17/2025,07/17/2025,07/19/2025,2,Guest 070,Palm 2BR Urban Retreat w/ Pool,,,USD,105.54,,3.26,,0.00,108.80,0.00,2025
08/05/2025,,Reservation,HMN4TCBPWX,07/19/2025,07/19/2025,07/21/2025,2,Guest 071,Palm 2BR Urban Retreat w/ Pool,,,USD,164.90,,5.10,,40.00,170.00,0.00,2025
08/05/2025,,Reservation,HMQDT45JCD,07/20/2025,07/21/2025,07/24/2025,3,Guest 072,Palm 2BR Urban Retreat w/ Pool,,,USD,212.43,,6.57,,45.00,219.00,0.00,2025
08/05/2025,,Reservation,HM8NCXEQF8,07/24/2025,07/25/2025,07/31/2025,6,Guest 073,Palm 2BR Urban Retreat w/ Pool,,,USD,427.77,,13.23,,45.00,441.00,0.00,2025
08/05/2025,,Reservation,HMBBQPFBR5,08/01/2025,08/01/2025,08/04/2025,3,Guest 074,Palm 2BR Urban Retreat w/ Pool,,,USD,240.56,,7.44,,45.00,248.00,0.00,2025
08/05/2025,,Reservation,HMW5MQS2T8,08/02/2025,08/02/2025,08/03/2025,1,Guest 069,Inspire and Unwind • Magical 3BR,,,USD,97.00,,3.00,,0.00,100.00,0.00,2025
08/05/2025,,Reservation,HMZBZ2JYKY,07/21/2025,08/04/2025,08/10/2025,6,Guest 075,Palm 2BR Urban Retreat w/ Pool,,,USD,421.95,,13.05,,45.00,435.00,0.00,2025
08/05/2025,,Reservation,HMPZ2CPMRX,08/03/2025,08/04/2025,08/08/2025,4,Guest 068,Inspire and Unwind • Magical 3BR,,,USD,551.98,,17.07,,52.25,569.05,0.00,2025
